subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_870158,161.35008239746094,3.2834625244140625,62642.05550165249,9084.8079736,0,inf
_870145,161.16339111328125,3.47015380859375,63618.43109209213,7987.954539600001,0,0.011222435363234216
_900062,161.08546447753906,3.548080444335937,68648.82875197203,8448.0663819,0,0.012643347926240455
_940176,160.86013793945312,3.773406982421875,69924.48476848674,8461.818406400002,0,0.013409533222724375
_980110,160.7318572998047,3.901687622070313,72462.43934871022,9435.4380434,0,0.012252734794031408
_990170,160.5678253173828,4.065719604492188,76176.99645088302,9747.2923132,0,0.01055420530546397
_1010192,160.52235412597656,4.1111907958984375,81649.69102847113,9160.1261395,0,0.010749826053654677
_980003,160.3450927734375,4.2884521484375,84694.34323634738,9825.5864564,0,0.012466955348784135
_1010038,160.2162628173828,4.417282104492188,87232.29781657085,10799.2060934,0,0.012540802268193511
_1050000,160.06369018554688,4.569854736328125,92692.42107467582,12295.1278175,0,0.012585751800718343
_890128,159.93353271484375,4.70001220703125,95230.37565489928,13268.7474545,0,0.007092270672498957
_1060173,159.8959503173828,4.737594604492188,96442.81417066336,12732.741792,0,0.008484497439084027
_990142,159.72564697265625,4.90789794921875,99068.09189713384,13003.3834641,0,0.013489784496251975
_1020090,159.5894317626953,5.044113159179688,104702.55620505396,12880.630068200002,0,0.012099107713547042
_940115,159.459228515625,5.17431640625,107240.51078527742,13854.2497052,0,0.011342114876292388
_1020071,159.35130310058594,5.282241821289063,113408.34370502052,15114.1448075,0,0.013361905338474624
_1020011,159.16622924804688,5.467315673828125,116376.06942064596,14945.9648342,0,0.02136136832767236
_1010123,158.8555908203125,5.7779541015625,125558.89128803033,17855.8075624,0,0.01813933043738577
_1030023,158.7886199951172,5.8449249267578125,130589.28894791022,18315.9194047,0,0.015708840620688044
_1030064,158.45509338378906,6.1784515380859375,131261.77145279848,18969.853500300003,0,0.02265824600189941
_1060169,158.21783447265625,6.41571044921875,139434.1903409421,19820.719741400004,0,0.023243263778979423
_960217,158.01661682128906,6.6169281005859375,153553.87634238438,22492.7403176,0,0.014201054992967602
_1060060,157.9771728515625,6.6563720703125,155502.56997284762,22491.70259957,0,0.006219386375264703
_1010117,157.89561462402344,6.7379302978515625,159188.34065030448,22369.9869217,0,0.009218906948350921
_990143,157.77413940429688,6.859405517578125,161726.29523052796,23343.6065587,0,0.012173364825603997
_990016,157.5848846435547,7.0486602783203125,163574.48712095176,23278.4584542,0,0.02096252376134938
_1020155,157.1951141357422,7.4384307861328125,165328.4490444006,23500.15003307,0,0.017960947380892236
_1060171,157.1921844482422,7.4413604736328125,175957.49916545255,23850.66218497,0,0.010425459123945765
_1000209,157.00796508789062,7.625579833984375,176183.4303884093,28379.85008807,0,0.01452520178725955
_970045,156.78155517578125,7.85198974609375,177607.0879579506,23680.6127017,0,0.020681671863293807
_1060113,156.43853759765625,8.19500732421875,179902.74123392015,24906.8054831,0,0.018177241667158804
_900010,156.32672119140625,8.30682373046875,184978.7798511541,25232.6413763,0,0.017658342839750887
_990013,156.04364013671875,8.58990478515625,191284.8335275487,25706.5052431,0,0.02166849053695382
_910101,155.84913635253906,8.784408569335938,199574.2972691996,28215.0845463,0,0.021717573359825843
_1060105,155.56460571289062,9.068939208984377,205880.35094559417,28688.9484131,0,0.015198696816377965
_1050161,155.50148010253906,9.132064819335938,208672.980809696,27580.035124099995,0,0.010712989465852089
_980104,155.28639221191406,9.347152709960938,209312.3937555985,29433.8853625,0,0.014481674116014934
_1030149,155.1542205810547,9.479324340820312,215903.68133592705,27077.566697200004,0,0.014653610172020524
_1020114,154.98316955566406,9.650375366210938,220958.3024503141,30217.4224868,0,0.027998384212316187
_1030105,154.40216064453125,10.23138427734375,222630.48259446517,28493.776825400004,0,0.032543934448845686
_990047,154.2114715576172,10.422073364257812,237987.85577588543,30870.8740794,0,0.025204187144688146
_1060012,153.8928985595703,10.740646362304688,243765.38614449336,33874.3469126,0,0.023728961873531174
_1030061,153.68092346191406,10.952621459960938,253292.6119670901,32416.7017898,0,0.028630569324554694
_1050101,153.23155212402344,11.401992797851562,260325.3597397051,34508.624323799995,0,0.02775832952900747
_1040176,153.19554138183594,11.438003540039062,283355.3047377883,34276.088706,0,0.016894239619281184
_1010167,153.02639770507812,11.607147216796877,286735.91269147693,38399.330529000006,0,0.008761767093294712
_1060103,153.0050811767578,11.628463745117188,289495.6360289594,39177.5963283,0,0.010856339990325472
_1050097,152.74639892578125,11.88714599609375,290388.05251040333,36368.01124,0,0.013860341284072212
_1030157,152.65855407714844,11.974990844726562,295142.5811571362,39749.0541347,0,0.014257601727041418
_970021,152.48690795898438,12.146636962890623,304913.88074159826,40244.727882,0,0.016469919201211942
_980138,152.39703369140625,12.23651123046875,315359.52785215096,41462.775000400005,0,0.012232006392049098
_1050042,152.28317260742188,12.350372314453123,319074.08495432383,41774.62927020001,0,0.00920351589402562
_1060179,152.16921997070312,12.464324951171877,319314.74825928337,41555.9011226,0,0.009027653417475485
_1050004,152.033447265625,12.60009765625,320592.6394453088,41783.8564015,0,0.01044837488116845
_1050040,151.95155334472656,12.681991577148438,327487.167147427,42406.7673637,0,0.016216294802051452
_1030171,151.74560546875,12.887939453125,337770.0459020547,43792.290896900005,0,0.01480346640761393
_990169,151.669677734375,12.9638671875,341449.943988693,44164.28452770001,0,0.00886743195960392
_1060045,151.55288696289062,13.080657958984377,343987.8985689164,45137.904164700005,0,0.009106261903273731
_1050117,151.4945526123047,13.138992309570312,349883.4455600906,48284.6053208,0,0.011153609861215807
_1010065,151.3318634033203,13.301681518554688,353730.8948445524,52308.8945381,0,0.008013051213504213
_1060043,151.30477905273438,13.328765869140623,354097.7128898477,51674.6412436,0,0.0026490861131904437
_990018,151.2884063720703,13.345138549804688,356857.43622733024,52452.9070429,0,0.02032852254871402
_1030034,150.74147033691406,13.892074584960938,357429.48811134393,53132.2924721,0,0.023674630619640976
_1030121,150.6689453125,13.964599609375,364025.0441045065,53775.00015449999,0,0.011415248130668434
_1020070,150.57925415039062,14.054290771484377,373153.6526160508,53359.033454,0,0.009167287963777398
_1020085,150.57476806640625,14.05877685546875,379897.4402641546,55276.55894159999,0,0.011042565569614474
_1050043,150.34075927734375,14.29278564453125,381031.2359433917,56374.9524832,0,0.015648086436442978
_1050154,150.1457977294922,14.487747192382812,382879.4278338156,56309.80437869999,0,0.016719801932874465
_1020049,149.95843505859375,14.67510986328125,391051.8467219592,57160.6706198,0,0.01584048542634704
_990195,149.8806915283203,14.752853393554688,401102.9202506341,55700.1045543,0,0.014236355003343304
_1020163,149.72865295410156,14.904891967773438,408191.9684214411,59092.0540734,0,0.013613047477648538
_1000168,149.5986785888672,15.034866333007812,411892.8692564248,59188.61245859999,0,0.00954033423396079
_1060167,149.5630340576172,15.070510864257812,418632.4727597088,57908.67049839999,0,0.006417432599903223
_1040149,149.51052856445312,15.123016357421877,421006.40555473,63622.8549895,0,0.005396373031484299
_1060166,149.43292236328125,15.20062255859375,421262.9861914273,59851.0467524,0,0.01297263740955685
_1020047,149.1911163330078,15.442428588867188,426734.06925889896,59203.5050383,0,0.020060586323167956
_1030025,148.99256896972656,15.640975952148438,434936.5763714017,61412.72236359999,0,0.015168812369751929
_1050024,148.85848999023438,15.775054931640623,437104.5372065295,62404.8519799,0,0.01809808503083698
_1060154,148.58798217773438,16.045562744140625,446615.1245122169,62298.60401639999,0,0.020501619285083077
_1060074,148.37945556640625,16.25408935546875,448471.7780002023,64220.3220881,0,0.01313300836976888
_930000,148.378173828125,16.25537109375,462621.4915780477,64923.7040683,0,0.013182505809623764
_1030020,148.18150329589844,16.452041625976562,465675.3692301441,65963.411763,0,0.01466711233811194
